source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'BBC News'}",,Ukraine end game: What each side wants from a peace deal,"Donald Trump's phone call with Putin has shocked both Ukraine's president Zelensky and allies alike, but is it enough to start peace talks?",https://www.bbc.com/news/articles/crlkypydyn6o,https://ichef.bbci.co.uk/news/1024/branded_news/c5a4/live/c4cd6dc0-eacc-11ef-869d-59d5dc42f7c7.jpg,2025-02-14T20:49:32Z,"Ukraine's future is the focus of the Munich Security Conference (MSC), just days after a shock phone call between US President Donald Trump and Russian President Vladimir Putin in which they agreed t… [+5756 chars]"
"{'id': None, 'name': 'BBC News'}",,Starmer backs Zelensky after Trump criticism,"The prime minister spoke to Zelensky on the phone and expressed support for ""Ukraine's democratically elected leader"".",https://www.bbc.com/news/articles/clyrnjrjrr5o,https://ichef.bbci.co.uk/news/1024/branded_news/2a2f/live/c61cc7d0-ef03-11ef-8ee5-598d194667cf.jpg,2025-02-19T20:48:09Z,"Joshua Nevett
Prime Minister Sir Keir Starmer has expressed support for Volodymyr Zelensky as a ""democratically elected leader"" after Donald Trump branded the Ukrainian president a ""dictator"".
Sir … [+5393 chars]"
"{'id': None, 'name': 'BBC News'}",,BBC Verify: Viral Donald Trump Jr audio highly likely AI fake,"A clip of Donald Trump Jr allegedly saying on his podcast that the US should have sent arms to Russia rather than Ukraine was very likely generated with AI, experts say.",https://www.bbc.com/news/videos/c36wwzpj1w7o,https://ichef.bbci.co.uk/news/1024/branded_news/a50f/live/29a01830-f53e-11ef-896e-d7e7fb1719a4.jpg,2025-02-27T19:41:26Z,"A widely shared clip of Donald Trump Jr allegedly saying on his podcast that the US should have sent arms to Russia rather than Ukraine has been very likely generated using AI, audio forensics expert… [+174 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump offers Putin a way back in from the cold,The BBC's Steve Rosenberg analyses how one phone call between Moscow and DC has already upended east-west relations.,https://www.bbc.com/news/articles/c8ed3nk3n6ro,https://ichef.bbci.co.uk/news/1024/branded_news/c7c9/live/e930e680-e97b-11ef-ac30-7d72b02b7846.jpg,2025-02-12T20:16:21Z,"Steve Rosenberg, in Moscow
A single phone call will not magically end the war in Ukraine.
Talks may now get under way. Exactly when and how they will conclude isn't clear.
But President Vladimir P… [+2313 chars]"
"{'id': None, 'name': 'BBC News'}",,UK 'must do more' to share Europe security burden - ministers,The foreign and defence secretaries say not enough has been done in the past to confront Russian aggression.,https://www.bbc.com/news/articles/cgq0x30kkldo,https://ichef.bbci.co.uk/news/1024/branded_news/929b/live/fefe99c0-eb89-11ef-bac1-79259587e103.jpg,2025-02-15T11:57:53Z,"David Lammy and John Healey said the West had not responded well enough to Russian aggression in the past
The UK and EU must work together and ""do more"" to ""share the burden"" of security across Euro… [+3485 chars]"
"{'id': None, 'name': 'BBC News'}",,"Trump's treatment of Zelensky 'wrong', says Sunak","The White House's criticism of Zelensky was ""very hard to watch,"" the former prime minister told the BBC.",https://www.bbc.com/news/articles/ce30701e1eqo,https://ichef.bbci.co.uk/news/1024/branded_news/c93d/live/580643a0-f8fb-11ef-896e-d7e7fb1719a4.jpg,2025-03-04T17:02:18Z,"Sam Francis
Watch: Rishi Sunak says treatment of President Zelensky was ""wrong""
Donald Trump's treatment of Ukraine President Volodymyr Zelensky was ""wrong"", former prime minister Rishi Sunak has s… [+3619 chars]"
"{'id': None, 'name': 'BBC News'}",,'This is a catastrophe': Ukraine reacts to US military aid pause,"One Ukrainian politician urged Trump ""not to play with these dangerous issues because we're talking about lives"".",https://www.bbc.com/news/articles/cwydq82e7r1o,https://ichef.bbci.co.uk/news/1024/branded_news/ff09/live/da0646c0-f8dd-11ef-9628-add78e51db09.jpg,2025-03-04T10:10:20Z,"Hafsa Khalil
James Waterhouse
Ukrainians have voiced their shock and dismay at the US pausing its military aid to the country - what one politician called a ""dangerous"" situation.
""We'll see very … [+3296 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump announces three-way talks on war in Munich,"But a Ukrainian official says talks on ending the war ""are not expected"" and Moscow does not comment.",https://www.bbc.com/news/articles/cy5k6gk50qvo,https://ichef.bbci.co.uk/news/1024/branded_news/1724/live/b36d8b40-ea87-11ef-a819-277e390a7a08.jpg,2025-02-14T05:17:22Z,"Anthony ZurcherNorth America correspondent
Jaroslav Lukiv
President Donald Trump has announced that US, Russian and Ukrainian officials will meet at a security conference in Munich on Friday for ta… [+4654 chars]"
"{'id': None, 'name': 'BBC News'}",,Trump commends Zelensky ahead of White House talks,"The US leader plays down earlier frictions and predicts a ""very good meeting"" on Friday.",https://www.bbc.com/news/articles/cqjdd2ej4peo,https://ichef.bbci.co.uk/news/1024/branded_news/879b/live/d0eb21e0-f564-11ef-9d3f-a98e005b5459.jpg,2025-02-28T00:56:41Z,"Patrick Jackson
Volodymyr Zelensky stopped off at Shannon Airport in Ireland on Thursday en route to the US
US President Donald Trump has said he has a ""lot of respect"" for Ukrainian President Volo… [+5480 chars]"
"{'id': None, 'name': 'BBC News'}",,Zelensky says Trump living in Russian 'disinformation space',Donald Trump's suggestion that Kyiv started the war and the Ukrainian leader is unpopular draws a sharp response.,https://www.bbc.com/news/articles/cvg1508r8jro,https://ichef.bbci.co.uk/news/1024/branded_news/f4c4/live/76157ef0-eebb-11ef-ba19-ad5401ddcbbb.jpg,2025-02-19T15:38:12Z,"Ukrainian President Volodymyr Zelensky has responded to criticism of Kyiv by Donald Trump, by saying his US counterpart is ""living in a disinformation space"" created by Russia.
On Tuesday, President… [+3921 chars]"
"{'id': None, 'name': 'BBC News'}",,'No durable peace' in Ukraine if Europe not in talks - minister,"Business Secretary Jonathan Reynolds says the UK could act as a ""bridge"" between the US and Europe.",https://www.bbc.com/news/articles/cy9l7zn8n79o,https://ichef.bbci.co.uk/news/1024/branded_news/19cb/live/5d460cc0-ec52-11ef-80e1-1702d1dcc3fa.jpg,2025-02-16T11:06:32Z,"There can be ""no durable peace"" in Ukraine without the involvement of European nations in any talks to end the war with Russia, the business secretary has told the BBC.
Jonathan Reynolds downplayed … [+1614 chars]"
"{'id': None, 'name': 'BBC News'}",,'It never should have happened' Americans frustrated by Trump-Zelensky spat,American voters expressed frustration at one or both leaders for their roles in the dispute that shocked the world.,https://www.bbc.com/news/articles/cvg17jmm5vxo,https://ichef.bbci.co.uk/news/1024/branded_news/b437/live/e5d74780-f85e-11ef-9e61-71ee71f26eb1.jpg,2025-03-03T19:39:07Z,"Ana Faguy &amp; Max Matza
The shocking blow-up between US President Donald Trump and Ukrainian President Volodymyr Zelensky continues to ripple across the globe, including though American voters who… [+4875 chars]"
"{'id': None, 'name': 'BBC News'}",,Macron walks tightrope with Trump as he makes Europe's case on Ukraine,"The French president navigated a White House meeting, which came as Europe-US relations are strained over the war.",https://www.bbc.com/news/articles/cvg592557vgo,https://ichef.bbci.co.uk/news/1024/branded_news/7b9c/live/ee48fc60-f318-11ef-896e-d7e7fb1719a4.jpg,2025-02-25T01:47:56Z,"Relations between Europe and the US are unquestionably in crisis, so merely keeping things together as French President Emmanuel Macron did at the White House on Monday stands as an achievement.
He … [+3730 chars]"
"{'id': None, 'name': 'BBC News'}",,Tens of thousands fighting for Russia dying unnoticed on Ukraine frontline,The Kremlin’s recruitment policy is shielding society from the true impact of war.,https://www.bbc.com/news/articles/cgkm7lly61do,https://ichef.bbci.co.uk/news/1024/branded_news/7fb8/live/d0bae4c0-f06f-11ef-8c03-7dfdbeeb2526.png,2025-02-23T01:24:37Z,"Olga Ivshina
Daniil Dudnikov was mobilised to fight in the war while studying at Donetsk National University
Over 95,000 people fighting for Russia's military have now died as the war in Ukraine en… [+6825 chars]"
"{'id': None, 'name': 'BBC News'}",,Ukrainians back Zelensky after disastrous White House encounter,"The more the country is attacked, the more unity there is, Ukrainians tell the BBC in Kyiv.",https://www.bbc.com/news/articles/cgr2g4n4wvdo,https://ichef.bbci.co.uk/news/1024/branded_news/01e5/live/7c960af0-f696-11ef-8c03-7dfdbeeb2526.jpg,2025-03-01T12:03:47Z,"James Waterhouse
Watch: 'Unpleasant to see' - Ukrainians react to Trump and Zelensky's spat
Whether or not President Volodymyr Zelensky was ambushed or should have been more diplomatic in the Oval … [+5913 chars]"
"{'id': None, 'name': 'BBC News'}",,"Global democracy under threat because of US isolation, says former PM Major","Sir John Mayor says US policy will embolden Russia and China, with gains since the fall of the Soviet Union being reversed.",https://www.bbc.com/news/articles/c4gwngxdd1vo,https://ichef.bbci.co.uk/news/1024/branded_news/b50d/live/7a668bf0-ec7e-11ef-a752-01fd95f2553a.jpg,2025-02-16T17:16:06Z,"Sir John Major has warned that democracy is under threat as the United States steps back from its leading role in the world.
The former prime minister told the BBC that US President Donald Trump's p… [+2922 chars]"
